query,discipline,journal_type
10.1016/J.PLAPHY.2024.109238,All,both
请帮我找关于优化算法可信度的研究,All,both
数据中心相干光互连在DSP信道损伤补偿方面的主要瓶颈,All,both
近年关于钠离子电池负极的英文文献,All,both
总结近三年mRNA疫苗在实体肿瘤的应用,All,both
俯冲带如何开始形成、循环挥发性物质并产生陆壳的国内研究现状,All,both
植物提取物膜分离工艺研究,All,both
过氧化苯甲酰热引发丙烯酸酯聚合,All,both
萜烯类化合物生物传感器,All,both
DFT计算如何应用于Ti合金储氢性能优化,All,both
材料计算在金刚石/铜复合材料的应用,All,both
有机溶剂反渗透（OSRO）的原理和应用有哪些？,All,both
请给我推荐一些高引用的文献并概括文章主要内容，我需要他们的研究发现，社会经济地位是影响公共健康的关键因素之一。低收入群体往往面临更高的健康风险，如更高的发病率、死亡率以及更差的健康状况。,All,both
碳材料作为吸附剂载体的应用,All,both
化工废碱液制备地聚合物,All,both
AI如何改进精神疾病的诊断？,All,both
谷氨酸棒杆菌甲苯响应启动子,All,both
碳材料作为吸附剂载体变压吸附二氧化碳,All,both
稳定自由基在化学、生物医学、材料学等领域的意义,All,both
溶源性噬菌体感染宿主菌后，遗传物质以噬菌体原存在于宿主菌内，不仅无法引起宿主菌裂解，还会增大耐药基因传播和宿主菌毒力上升的风险 出自哪篇文献,All,both
平板绕流在明渠中的研究现状,All,both
DFT computations and molecular dynamics investigations on conformers of some pyrazinamide derivatives as corrosion inhibitors for aluminum,All,both
环戊二烯基自由基在热解过程中反应机理,All,both
Oligoribonuclease的功能，其是否与RNA合成有关或者病毒的复制？,All,both
如何设计一个火灾烟雾场景下的对近红外数据和热红外数据进行时间对齐和空间对齐的算法,All,both
糖尿病在中国的最新发病率是多少？,All,both
高维数据中稀疏性结构如何统计推断？,All,both
噬菌体抑制病原菌的机制,All,both
胞外聚合物对矿物的影响,All,both
Cu-SSZ-13中的NH3-TPD中，6MR的活性铜离子吸附氨的能力强，还是8MR的活性铜离子吸附氨的能力强？,All,both
我在设计新型的无污染的太阳能三元半导体材料银铋硫，请你参考钙钛矿的合成方法，帮我设计一下这种三元半导体的合成路线，并标注论文出处,All,both
我之前的工作是关于如何合成银铋硫量子点，帮我看看我之后的工作研究方向可能有哪些,All,both
复杂网络理论是什么,All,both
苹果酸在苹果果实中的主要代谢途径是什么？,All,both
是否存在一种导电不导热且密度比铁低的材料,All,both
热电应用中有哪些不错的材料体系,All,both
镁合金中各种元素的作用,All,both
帮我生成一个关于生物信息学的系统学习计划，包括基础知识、工具使用、前沿研究等,All,both
支持“axSpA BASMI更多反映结构性损伤，而非当前功能状态”的文献,All,both
双硫仑（disulfiram）用作农用杀菌剂的文献支撑,All,both
阅览期刊《Science Advances》和《Advanced Science》所有2024年的文献，找出所有和糖化学或糖生物学相关的文献,All,both
固态电池,All,both
全麻手术术后并发症研究热点,All,both
